"NOMBRE","ACTIVIDAD","DIRECCION","X","X.1","origin","DIRECCION.CLEAN","regexp","calle","numero"
"ESPACIO TEATRAL LOS ANDES","ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)","LEIVA 4249",NA,NA,"D2","leiva 4249","^([a-z ]*)([0-9]+)","leiva","4249"
"ESTUDIO URBANO","ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)","CURAPALIGUE 585",NA,NA,"D2","curapaligue 585","^([a-z ]*)([0-9]+)","curapaligue","585"
"INSTITUTO DE INVESTIGACION EN ETNOMUSICOLOGIA","ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)","BOLIVAR 191",NA,NA,"D2","bolivar 191","^([a-z ]*)([0-9]+)","bolivar","191"
"INSTITUTO VOCACIONAL DE ARTE MANUEL JOSE DE LABARDEN - ANEXO 1","ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)","CURAPALIGUE AV. 1026",NA,NA,"D2","curapaligue av 1026","^([a-z ]*)([0-9]+)","curapaligue av","1026"
"INSTITUTO VOCACIONAL DE ARTE MANUEL JOSE DE LABARDEN - ANEXO 2","ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)","COLLIVADINO, PIO 470",NA,NA,"D2","collivadino pio 470","^([a-z ]*)([0-9]+)","collivadino pio","470"
"INSTITUTO VOCACIONAL DE ARTE MANUEL JOSE DE LABARDEN - SEDE CENTRAL","ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)","GARAY, JUAN DE AV. 1684",NA,NA,"D2","garay juan de av 1684","^([a-z ]*)([0-9]+)","garay juan de av","1684"
"RECREO DE LAS ARTES - SEDE CONSTITUCION","ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)","SOLIS 1815",NA,NA,"D2","solis 1815","^([a-z ]*)([0-9]+)","solis","1815"
"RECREO DE LAS ARTES - SEDE LA BOCA","ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)","ROCHA 1226",NA,NA,"D2","rocha 1226","^([a-z ]*)([0-9]+)","rocha","1226"
"AUDITORIO EVA PERON - PARQUE CENTENARIO","ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)","PATRICIAS ARGENTINAS AV. Y LILLO AV.",NA,NA,"D2","patricias argentinas av y lillo av","","patricias argentinas av y lillo av","patricias argentinas av y lillo av"
"TEATRO 25 DE MAYO","ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)","TRIUNVIRATO AV. 4444",NA,NA,"D2","triunvirato av 4444","^([a-z ]*)([0-9]+)","triunvirato av","4444"
"TEATRO COLON","ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)","CERRITO 618",NA,NA,"D2","cerrito 618","^([a-z ]*)([0-9]+)","cerrito","618"
"TEATRO DE LA RIBERA","ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)","DON PEDRO DE MENDOZA AV. 1821",NA,NA,"D2","don pedro de mendoza av 1821","^([a-z ]*)([0-9]+)","don pedro de mendoza av","1821"
"TEATRO GENERAL SAN MARTIN","ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)","CORRIENTES AV. 1530",NA,NA,"D2","corrientes av 1530","^([a-z ]*)([0-9]+)","corrientes av","1530"
"TEATRO PRESIDENTE ALVEAR","ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)","CORRIENTES AV. 1659",NA,NA,"D2","corrientes av 1659","^([a-z ]*)([0-9]+)","corrientes av","1659"
"TEATRO REGIO","ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)","CORDOBA AV. 6065",NA,NA,"D2","cordoba av 6065","^([a-z ]*)([0-9]+)","cordoba av","6065"
"TEATRO SARMIENTO","ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)","SARMIENTO AV. 2715",NA,NA,"D2","sarmiento av 2715","^([a-z ]*)([0-9]+)","sarmiento av","2715"
"CASA HISTORICA ISAAC FERNANDEZ BLANCO","MUSEO","YRIGOYEN, HIPOLITO 1420",NA,NA,"D2","yrigoyen hipolito 1420","^([a-z ]*)([0-9]+)","yrigoyen hipolito","1420"
"CENTRO DE MUSEOS DE BUENOS AIRES (DIRECCION GENERAL DE MUSEOS)","MUSEO","DE LOS ITALIANOS AV. Y VILLAFLOR, AZUCENA",NA,NA,"D2","de los italianos av y villaflor azucena","","de los italianos av y villaflor azucena","de los italianos av y villaflor azucena"
"MUSEO CASA CARLOS GARDEL","MUSEO","JAURES, JEAN 735",NA,NA,"D2","jaures jean 735","^([a-z ]*)([0-9]+)","jaures jean","735"
"MUSEO DE ARTE ESPAÑOL ENRIQUE LARRETA","MUSEO","JURAMENTO AV. 2291",NA,NA,"D2","juramento av 2291","^([a-z ]*)([0-9]+)","juramento av","2291"
"MUSEO DE ARTE HISPANOAMERICANO ISAAC FERNANDEZ BLANCO","MUSEO","SUIPACHA 1422",NA,NA,"D2","suipacha 1422","^([a-z ]*)([0-9]+)","suipacha","1422"
"MUSEO DE ARTE MODERNO DE BUENOS AIRES","MUSEO","SAN JUAN AV. 350",NA,NA,"D2","san juan av 350","^([a-z ]*)([0-9]+)","san juan av","350"
"MUSEO DE ARTE POPULAR JOSE HERNANDEZ","MUSEO","DEL LIBERTADOR AV. 2373",NA,NA,"D2","del libertador av 2373","^([a-z ]*)([0-9]+)","del libertador av","2373"
"MUSEO DE ARTES PLASTICAS EDUARDO SIVORI","MUSEO","ISABEL, INFANTA AV. 555",NA,NA,"D2","isabel infanta av 555","^([a-z ]*)([0-9]+)","isabel infanta av","555"
"MUSEO DE ESCULTURAS LUIS PERLOTTI","MUSEO","PUJOL 642",NA,NA,"D2","pujol 642","^([a-z ]*)([0-9]+)","pujol","642"
"MUSEO DE LA CIUDAD","MUSEO","DEFENSA 219",NA,NA,"D2","defensa 219","^([a-z ]*)([0-9]+)","defensa","219"
"MUSEO DEL CINE PABLO DUCROS HICKEN (SEDE CAFFARENA)","MUSEO","CAFFARENA, AGUSTIN R. 49",NA,NA,"D2","caffarena agustin r 49","^([a-z ]*)([0-9]+)","caffarena agustin r","49"
"MUSEO DEL CINE PABLO DUCROS HICKEN (SEDE FEIJOO)","MUSEO","SALMUN FEIJOO, JOSE AARON 555",NA,NA,"D2","salmun feijoo jose aaron 555","^([a-z ]*)([0-9]+)","salmun feijoo jose aaron","555"
